per_name,val
1/1/1963,42
2/1/1963,35
3/1/1963,44
4/1/1963,52
5/1/1963,58
6/1/1963,48
7/1/1963,62
8/1/1963,56
9/1/1963,49
10/1/1963,44
11/1/1963,39
12/1/1963,31
1/1/1964,39
2/1/1964,46
3/1/1964,53
4/1/1964,49
5/1/1964,52
6/1/1964,53
7/1/1964,54
8/1/1964,56
9/1/1964,48
10/1/1964,45
11/1/1964,37
12/1/1964,33
1/1/1965,38
2/1/1965,44
3/1/1965,53
4/1/1965,49
5/1/1965,54
6/1/1965,57
7/1/1965,51
8/1/1965,58
9/1/1965,48
10/1/1965,44
11/1/1965,42
12/1/1965,37
1/1/1966,42
2/1/1966,43
3/1/1966,53
4/1/1966,49
5/1/1966,49
6/1/1966,40
7/1/1966,40
8/1/1966,36
9/1/1966,29
10/1/1966,31
11/1/1966,26
12/1/1966,23
1/1/1967,29
2/1/1967,32
3/1/1967,41
4/1/1967,44
5/1/1967,49
6/1/1967,47
7/1/1967,46
8/1/1967,47
9/1/1967,43
10/1/1967,45
11/1/1967,34
12/1/1967,31
1/1/1968,35
2/1/1968,43
3/1/1968,46
4/1/1968,46
5/1/1968,43
6/1/1968,41
7/1/1968,44
8/1/1968,47
9/1/1968,41
10/1/1968,40
11/1/1968,32
12/1/1968,32
1/1/1969,34
2/1/1969,40
3/1/1969,43
4/1/1969,42
5/1/1969,43
6/1/1969,44
7/1/1969,39
8/1/1969,40
9/1/1969,33
10/1/1969,32
11/1/1969,31
12/1/1969,28
1/1/1970,34
2/1/1970,29
3/1/1970,36
4/1/1970,42
5/1/1970,43
6/1/1970,44
7/1/1970,44
8/1/1970,48
9/1/1970,45
10/1/1970,44
11/1/1970,40
12/1/1970,37
1/1/1971,45
2/1/1971,49
3/1/1971,62
4/1/1971,62
5/1/1971,58
6/1/1971,59
7/1/1971,64
8/1/1971,62
9/1/1971,50
10/1/1971,52
11/1/1971,50
12/1/1971,44
1/1/1972,51
2/1/1972,56
3/1/1972,60
4/1/1972,65
5/1/1972,64
6/1/1972,63
7/1/1972,63
8/1/1972,72
9/1/1972,61
10/1/1972,65
11/1/1972,51
12/1/1972,47
1/1/1973,55
2/1/1973,60
3/1/1973,68
4/1/1973,63
5/1/1973,65
6/1/1973,61
7/1/1973,54
8/1/1973,52
9/1/1973,46
10/1/1973,42
11/1/1973,37
12/1/1973,30
1/1/1974,37
2/1/1974,44
3/1/1974,55
4/1/1974,53
5/1/1974,58
6/1/1974,50
7/1/1974,48
8/1/1974,45
9/1/1974,41
10/1/1974,34
11/1/1974,30
12/1/1974,24
1/1/1975,29
2/1/1975,34
3/1/1975,44
4/1/1975,54
5/1/1975,57
6/1/1975,51
7/1/1975,51
8/1/1975,53
9/1/1975,46
10/1/1975,46
11/1/1975,46
12/1/1975,39
1/1/1976,41
2/1/1976,53
3/1/1976,55
4/1/1976,62
5/1/1976,55
6/1/1976,56
7/1/1976,57
8/1/1976,59
9/1/1976,58
10/1/1976,55
11/1/1976,49
12/1/1976,47
1/1/1977,57
2/1/1977,68
3/1/1977,84
4/1/1977,81
5/1/1977,78
6/1/1977,74
7/1/1977,64
8/1/1977,74
9/1/1977,71
10/1/1977,63
11/1/1977,55
12/1/1977,51
1/1/1978,57
2/1/1978,63
3/1/1978,75
4/1/1978,85
5/1/1978,80
6/1/1978,77
7/1/1978,68
8/1/1978,72
9/1/1978,68
10/1/1978,70
11/1/1978,53
12/1/1978,50
1/1/1979,53
2/1/1979,58
3/1/1979,73
4/1/1979,72
5/1/1979,68
6/1/1979,63
7/1/1979,64
8/1/1979,68
9/1/1979,60
10/1/1979,54
11/1/1979,41
12/1/1979,35
1/1/1980,43
2/1/1980,44
3/1/1980,44
4/1/1980,36
5/1/1980,44
6/1/1980,50
7/1/1980,55
8/1/1980,61
9/1/1980,50
10/1/1980,46
11/1/1980,39
12/1/1980,33
1/1/1981,37
2/1/1981,40
3/1/1981,49
4/1/1981,44
5/1/1981,45
6/1/1981,38
7/1/1981,36
8/1/1981,34
9/1/1981,28
10/1/1981,29
11/1/1981,27
12/1/1981,29
1/1/1982,28
2/1/1982,29
3/1/1982,36
4/1/1982,32
5/1/1982,36
6/1/1982,34
7/1/1982,31
8/1/1982,36
9/1/1982,39
10/1/1982,40
11/1/1982,39
12/1/1982,33
1/1/1983,44
2/1/1983,46
3/1/1983,57
4/1/1983,59
5/1/1983,64
6/1/1983,59
7/1/1983,51
8/1/1983,50
9/1/1983,48
10/1/1983,51
11/1/1983,45
12/1/1983,48
1/1/1984,52
2/1/1984,58
3/1/1984,63
4/1/1984,61
5/1/1984,59
6/1/1984,58
7/1/1984,52
8/1/1984,48
9/1/1984,53
10/1/1984,55
11/1/1984,42
12/1/1984,38
1/1/1985,48
2/1/1985,55
3/1/1985,67
4/1/1985,60
5/1/1985,65
6/1/1985,65
7/1/1985,63
8/1/1985,61
9/1/1985,54
10/1/1985,52
11/1/1985,51
12/1/1985,47
1/1/1986,55
2/1/1986,59
3/1/1986,89
4/1/1986,84
5/1/1986,75
6/1/1986,66
7/1/1986,57
8/1/1986,52
9/1/1986,60
10/1/1986,54
11/1/1986,48
12/1/1986,49
1/1/1987,53
2/1/1987,59
3/1/1987,73
4/1/1987,72
5/1/1987,62
6/1/1987,58
7/1/1987,55
8/1/1987,56
9/1/1987,52
10/1/1987,52
11/1/1987,43
12/1/1987,37
1/1/1988,43
2/1/1988,55
3/1/1988,68
4/1/1988,68
5/1/1988,64
6/1/1988,65
7/1/1988,57
8/1/1988,59
9/1/1988,54
10/1/1988,57
11/1/1988,43
12/1/1988,42
1/1/1989,52
2/1/1989,51
3/1/1989,58
4/1/1989,60
5/1/1989,61
6/1/1989,58
7/1/1989,62
8/1/1989,61
9/1/1989,49
10/1/1989,51
11/1/1989,47
12/1/1989,40
1/1/1990,45
2/1/1990,50
3/1/1990,58
4/1/1990,52
5/1/1990,50
6/1/1990,50
7/1/1990,46
8/1/1990,46
9/1/1990,38
10/1/1990,37
11/1/1990,34
12/1/1990,29
1/1/1991,30
2/1/1991,40
3/1/1991,51
4/1/1991,50
5/1/1991,47
6/1/1991,47
7/1/1991,43
8/1/1991,46
9/1/1991,37
10/1/1991,41
11/1/1991,39
12/1/1991,36
1/1/1992,48
2/1/1992,55
3/1/1992,56
4/1/1992,53
5/1/1992,52
6/1/1992,53
7/1/1992,52
8/1/1992,56
9/1/1992,51
10/1/1992,48
11/1/1992,42
12/1/1992,42
1/1/1993,44
2/1/1993,50
3/1/1993,60
4/1/1993,66
5/1/1993,58
6/1/1993,59
7/1/1993,55
8/1/1993,57
9/1/1993,57
10/1/1993,56
11/1/1993,53
12/1/1993,51
1/1/1994,46
2/1/1994,58
3/1/1994,74
4/1/1994,65
5/1/1994,65
6/1/1994,55
7/1/1994,52
8/1/1994,59
9/1/1994,54
10/1/1994,57
11/1/1994,45
12/1/1994,40
1/1/1995,47
2/1/1995,47
3/1/1995,60
4/1/1995,58
5/1/1995,63
6/1/1995,64
7/1/1995,64
8/1/1995,63
9/1/1995,54
10/1/1995,54
11/1/1995,46
12/1/1995,45
1/1/1996,54
2/1/1996,68
3/1/1996,70
4/1/1996,70
5/1/1996,69
6/1/1996,65
7/1/1996,66
8/1/1996,73
9/1/1996,62
10/1/1996,56
11/1/1996,54
12/1/1996,51
1/1/1997,61
2/1/1997,69
3/1/1997,81
4/1/1997,70
5/1/1997,71
6/1/1997,71
7/1/1997,69
8/1/1997,72
9/1/1997,67
10/1/1997,62
11/1/1997,61
12/1/1997,51
1/1/1998,64
2/1/1998,75
3/1/1998,81
4/1/1998,82
5/1/1998,82
6/1/1998,83
7/1/1998,75
8/1/1998,75
9/1/1998,68
10/1/1998,69
11/1/1998,70
12/1/1998,61
1/1/1999,67
2/1/1999,76
3/1/1999,84
4/1/1999,86
5/1/1999,80
6/1/1999,82
7/1/1999,78
8/1/1999,78
9/1/1999,65
10/1/1999,67
11/1/1999,61
12/1/1999,57
1/1/2000,67
2/1/2000,78
3/1/2000,88
4/1/2000,78
5/1/2000,77
6/1/2000,71
7/1/2000,76
8/1/2000,73
9/1/2000,70
10/1/2000,71
11/1/2000,63
12/1/2000,65
1/1/2001,72
2/1/2001,85
3/1/2001,94
4/1/2001,84
5/1/2001,80
6/1/2001,79
7/1/2001,76
8/1/2001,74
9/1/2001,66
10/1/2001,66
11/1/2001,67
12/1/2001,66
1/1/2002,66
2/1/2002,84
3/1/2002,90
4/1/2002,86
5/1/2002,88
6/1/2002,84
7/1/2002,82
8/1/2002,90
9/1/2002,82
10/1/2002,77
11/1/2002,73
12/1/2002,70
1/1/2003,76
2/1/2003,82
3/1/2003,98
4/1/2003,91
5/1/2003,101
6/1/2003,107
7/1/2003,99
8/1/2003,105
9/1/2003,90
10/1/2003,88
11/1/2003,76
12/1/2003,75
1/1/2004,89
2/1/2004,102
3/1/2004,123
4/1/2004,109
5/1/2004,115
6/1/2004,105
7/1/2004,96
8/1/2004,102
9/1/2004,94
10/1/2004,101
11/1/2004,84
12/1/2004,83
1/1/2005,92
2/1/2005,109
3/1/2005,127
4/1/2005,116
5/1/2005,120
6/1/2005,115
7/1/2005,117
8/1/2005,110
9/1/2005,99
10/1/2005,105
11/1/2005,86
12/1/2005,87
1/1/2006,89
2/1/2006,88
3/1/2006,108
4/1/2006,100
5/1/2006,102
6/1/2006,98
7/1/2006,83
8/1/2006,88
9/1/2006,80
10/1/2006,74
11/1/2006,71
12/1/2006,71
1/1/2007,66
2/1/2007,68
3/1/2007,80
4/1/2007,83
5/1/2007,79
6/1/2007,73
7/1/2007,68
8/1/2007,60
9/1/2007,53
10/1/2007,57
11/1/2007,45
12/1/2007,44
1/1/2008,44
2/1/2008,48
3/1/2008,49
4/1/2008,49
5/1/2008,49
6/1/2008,45
7/1/2008,43
8/1/2008,38
9/1/2008,35
10/1/2008,32
11/1/2008,27
12/1/2008,26
1/1/2009,24
2/1/2009,29
3/1/2009,31
4/1/2009,32
5/1/2009,34
6/1/2009,37
7/1/2009,38
8/1/2009,36
9/1/2009,30
10/1/2009,33
11/1/2009,26
12/1/2009,24
1/1/2010,24
2/1/2010,27
3/1/2010,36
4/1/2010,41
5/1/2010,26
6/1/2010,28
7/1/2010,26
8/1/2010,23
9/1/2010,25
10/1/2010,23
11/1/2010,20
12/1/2010,23
1/1/2011,21
2/1/2011,22
3/1/2011,28
4/1/2011,30
5/1/2011,28
6/1/2011,28
7/1/2011,27
8/1/2011,25
9/1/2011,24
10/1/2011,25
11/1/2011,23
12/1/2011,24
1/1/2012,23
2/1/2012,30
3/1/2012,34
4/1/2012,34
5/1/2012,35
6/1/2012,34
7/1/2012,33
8/1/2012,31
9/1/2012,30
10/1/2012,29
11/1/2012,28
12/1/2012,28
1/1/2013,32
2/1/2013,36
3/1/2013,41
4/1/2013,43
