Date,OpenPrice,HighPrice,LowPrice,ClosePrice,AdjClosePrice,Volume
1/2/2019,2476.96,2519.49,2467.47,2510.03,2510.03,
1/3/2019,2491.92,2493.14,2443.96,2447.89,2447.89,
1/4/2019,2474.33,2538.07,2474.33,2531.94,2531.94,
1/7/2019,2535.61,2566.16,2524.56,2549.69,2549.69,
1/8/2019,2568.11,2579.82,2547.56,2574.41,2574.41,
1/9/2019,2580,2595.32,2568.89,2584.96,2584.96,
1/10/2019,2573.51,2597.82,2562.02,2596.64,2596.64,
1/11/2019,2588.11,2596.27,2577.4,2596.26,2596.26,
1/14/2019,2580.31,2589.32,2570.41,2582.61,2582.61,
1/15/2019,2585.1,2613.08,2585.1,2610.3,2610.3,
1/16/2019,2614.75,2625.76,2612.68,2616.1,2616.1,
1/17/2019,2609.28,2645.06,2606.36,2635.96,2635.96,
1/18/2019,2651.27,2675.47,2647.58,2670.71,2670.71,
1/22/2019,2657.88,2657.88,2617.27,2632.9,2632.9,
1/23/2019,2643.48,2653.19,2612.86,2638.7,2638.7,
1/24/2019,2638.84,2647.2,2627.01,2642.33,2642.33,
1/25/2019,2657.44,2672.38,2657.33,2664.76,2664.76,
1/28/2019,2644.97,2644.97,2624.06,2643.85,2643.85,
1/29/2019,2644.89,2650.93,2631.05,2640,2640,
1/30/2019,2653.62,2690.44,2648.34,2681.05,2681.05,
1/31/2019,2685.49,2708.95,2678.65,2704.1,2704.1,
2/1/2019,2702.32,2716.66,2696.88,2706.53,2706.53,
2/4/2019,2706.49,2724.99,2698.75,2724.87,2724.87,
2/5/2019,2728.34,2738.98,2724.03,2737.7,2737.7,
2/6/2019,2735.05,2738.08,2724.15,2731.61,2731.61,
2/7/2019,2717.53,2719.32,2687.26,2706.05,2706.05,
2/8/2019,2692.36,2708.07,2681.83,2707.88,2707.88,
2/11/2019,2712.4,2718.05,2703.79,2709.8,2709.8,
2/12/2019,2722.61,2748.19,2722.61,2744.73,2744.73,
2/13/2019,2750.3,2761.85,2748.63,2753.03,2753.03,
2/14/2019,2743.5,2757.9,2731.23,2745.73,2745.73,
2/15/2019,2760.24,2775.66,2760.24,2775.6,2775.6,
2/19/2019,2769.28,2787.33,2767.29,2779.76,2779.76,
2/20/2019,2779.05,2789.88,2774.06,2784.7,2784.7,
2/21/2019,2780.24,2781.58,2764.55,2774.88,2774.88,
2/22/2019,2780.67,2794.2,2779.11,2792.67,2792.67,
2/25/2019,2804.35,2813.49,2794.99,2796.11,2796.11,
2/26/2019,2792.36,2803.12,2789.47,2793.9,2793.9,
2/27/2019,2787.5,2795.76,2775.13,2792.38,2792.38,
2/28/2019,2788.11,2793.73,2782.51,2784.49,2784.49,
3/1/2019,2798.22,2808.02,2787.38,2803.69,2803.69,
3/4/2019,2814.37,2816.88,2767.66,2792.81,2792.81,
3/5/2019,2794.41,2796.44,2782.97,2789.65,2789.65,
3/6/2019,2790.27,2790.27,2768.69,2771.45,2771.45,
3/7/2019,2766.53,2767.25,2739.09,2748.93,2748.93,
3/8/2019,2730.79,2744.13,2722.27,2743.07,2743.07,
3/11/2019,2747.61,2784,2747.61,2783.3,2783.3,
3/12/2019,2787.34,2798.32,2786.73,2791.52,2791.52,
3/13/2019,2799.78,2821.24,2799.78,2810.92,2810.92,
3/14/2019,2810.38,2815,2803.46,2808.48,2808.48,
3/15/2019,2810.79,2830.73,2810.79,2822.48,2822.48,
3/18/2019,2822.610107,2835.409912,2821.98999,2832.939941,2832.939941,
3/19/2019,2840.76001,2852.419922,2823.27002,2832.570068,2832.570068,
